Input,Predicted,Actual
- Who's with him?,<unk> <unk> <unk> साथ ?,- उसके साथ कौन है?
Have you seen Po?,<unk> <unk> <unk> <unk> <unk> ?,तुमने पो को देखा?
For me it's a job.,मैं एक कार है है .,मेरे लिए यह एक काम है.
What you want to do?,<unk> तुम <unk> चाहते हो ? ?,आप क्या करना चाहते हैं?
I'd always thought that...,<unk> ऐसा कि कि कि . .,मैंने हमेशा सोचा था...
Let's just work with that.,<unk> उस के के काम है .,चलो बस उस के साथ काम करते हैं।
I stole a car.,<unk> एक कार कार कार कार,मैंने एक कार चुरायी.
This is complete fucking bollocks.,<unk> <unk> <unk> <unk> <unk>,वह एक पूरी बकवास है।
The Führer is dead.,<unk> <unk> <unk> <unk> है है,फ्यूरर मृत है.
"- No, I'm not.","<unk> , <unk> <unk> नहीं . .","- नहीं, मैं नहीं हूँ."
"""She's a blank page.""",""" <unk> <unk> एक <unk> <unk> <unk> .",""" वह एक खाली है पेज """
What did I tell you?,<unk> <unk> <unk> <unk> ? ?,मैं तुम्हें क्या बताया?
"Keefe, you made bail.","<unk> , , तुम <unk> <unk> .","Keefe, आप जमानत बनाया है।"
I'll get to train.,<unk> के के लिए .,मैं प्रशिक्षित करने के िलए मिल जाएगा.
You know what to do.,<unk> <unk> के है है . .,आप / मैं क्या करना है पता.
Shoulders up and chin forward.,<unk> और <unk> <unk> <unk> <unk> <unk>,कंधे आगे और ठोड़ी सामने.
"You missed the target, Princess.",<unk> <unk> <unk> <unk> <unk> .,"आपका निशाना चूक गया, राजकुमारी जी."
I got to go.,<unk> के <unk> <unk> .,जानाWot
And using this agent ...,<unk> <unk> <unk> <unk> . .,और इस एजेंट का उपयोग कर...
And look at you.,<unk> तुम तुम देखो देखो .,और अपने आप को देखो.
"Okay, Q, give me something.","<unk> , , , मैं , मैं","अच्छा, क्यू, मुझे कुछ काम का तो दो। रेचन"
And that was that.,कि कि कि कि . .,और कहा कि... ... कि था.
We're meant to leave it.,<unk> इसे के के लिए लिए .,अब हमें इसे छोड़कर जाना होगा .
Don't ever lie to me!,<unk> मेरे नहीं नहीं नहीं नहीं ! !,आइन्दा झूट मत बोलना!
I gotta cut you loose.,<unk> <unk> <unk> <unk> <unk> .,मैं होगा आप ढीला काटा.
So that's all you get?,<unk> <unk> है है है ? ? ?,तो तुम्हें बस यह मिलता है?
It's an instant army.,<unk> <unk> <unk> <unk> <unk> है .,यह एक पल सेना है।
Who gave you another name.,<unk> <unk> एक <unk> <unk> <unk> .,कौन हो तुम एक और नाम दिया है.
"The assassin, a Joe,","<unk> <unk> <unk> <unk> <unk> <unk> ,","हत्यारे, एकजो,"
Don't have any doubts.,<unk> <unk> <unk> नहीं नहीं नहीं है,कोई शक नहीं है।
"""Than facing fearful odds""",""" <unk> <unk> <unk> <unk> <unk> ""","भयभीत मुश्किलों का सामना करना पड़ ज़्यादा """
And it's just you?,<unk> यह है आप है ? ?,और यह आप अभी है?
She lives to kill me.,मुझसे मेरे मुझे मुझे लिए ।,मुझे मारने रहता है.
This is not a riot!,<unk> <unk> <unk> नहीं नहीं है !,यह दंगा-फ़साद नहीं है!
But you ruined that.,<unk> <unk> <unk> कि . .,लेकिन आपको लगता है कि बर्बाद कर दिया।
Mine is worth ten.,<unk> <unk> <unk> <unk> <unk> है,मेरी तो दस के बराबर है।
Something is going on?,<unk> <unk> हो रहा ?,कुछ हो रहा है?
"All right, be good.","<unk> , , अच्छा . . .","ठीक है, अच्छा है."
"Okay, switch to mobile.",<unk> <unk> <unk> <unk> <unk> <unk> <unk>,"ठीक है, मोबाइल को स्विच."
Plus his mattress is gone.,<unk> <unk> <unk> चला है है,इसके अलावा अपने गद्दे गया है.
I found the gypsy cab.,<unk> <unk> <unk> <unk> <unk>,मैं जिप्सी टैक्सी पाया.
What if it was Camille?,<unk> <unk> <unk> <unk> <unk> ? ?,क्या होगा अगर यह केमिली था?
You're gonna save everybody?,<unk> <unk> <unk> जा ? ?,तुम सबको बचाने जा रही ?
NdeR M@nkÖÖ ™ © P@rM!,<unk> <unk> <unk> <unk> <unk> !,©@ पीआर एम nderएम@ nkÖÖ 
- How'd it go?,<unk> <unk> <unk> ? ?,- क्या हुआ ?
Have a fun lady party!,<unk> <unk> <unk> <unk> ! ! !,आपकी पार्टी मज़ेदार हो!
Of course you will.,<unk> <unk> तुम . . .,निश्चय ही आप करेंगे।
Do narcissists wear balaclavas?,<unk> <unk> <unk> <unk> <unk> ?,आत्मकामी बैलाक्लावा टोपी पहनते हैं?
Your chi is strong.,<unk> <unk> <unk> में है .,तुम्हारी ऊर्जा बहुत शक्तिशाली है।
nobody can tie themselves up.,कोई <unk> <unk> <unk> <unk> कर सकते,आप यह कैसे करते हैं? कोई भी अकेला अपने को कैसे बांध सकता है.
Do you hate me?,<unk> मुझे <unk> <unk> <unk> ?,क्या तुम मुझसे नफरत करते हो?
"We will kill her, sir.","<unk> उन्हें <unk> , , , .","हम उसे मार, सर होगा।"
"You're a northerner, aren't you?","<unk> <unk> , , क्या क्या रहे ? ?","यदि आप एक उत्तरवासी कर रहे हैं, नहीं कर रहे हैं?"
- Something for you?,आप <unk> <unk> <unk> ?,- आप के लिए कुछ है?
"A little dizzy, huh?","<unk> <unk> , , , ? ?","एक छोटी चक्कर, है न?"
You should be happy.,<unk> <unk> <unk> चाहिए चाहिए .,होना चाहिए तुम.
You're not thinking straight.,<unk> <unk> <unk> नहीं नहीं जा .,तुम स्पष्ट नहीं सोच रहे।
A limb moves independently.,<unk> <unk> <unk> <unk> <unk> <unk>,एक अंग स्वतंत्र हिलता है.
"You carry on, I'll wait.","<unk> <unk> <unk> <unk> , <unk> .","तुम जाओ, मै इंतजार करूगा."
- l don't believe it.,मैं ऐसा नहीं नहीं नहीं .,-मुझे यकीन नहीं हो रहा.
He's got my parents!,<unk> मेरी <unk> <unk> ! !,मम्मी-पापा को कैद कर दिया!
- It's a sin...?,<unk> <unk> <unk> <unk> . . .,- नाच ना जाने...
You sort the tire out?,<unk> <unk> <unk> <unk>,तो तुमने टायर ठीक कर लिया?
You wanted to see me.,मैं मुझे करना करना लिए हूँ,आप मुझसे मिलना चाहते थे.
- You wanna see something?,<unk> <unk> <unk> <unk> ? ?,- आप कुछ देखना चाहते हो?
Why'd you cut Gus off?,<unk> <unk> <unk> <unk> <unk> ?,क्योंतुमगस काट
Where have you been?,<unk> <unk> <unk> हो ?,तुम कहाँ थी?
She calls herself Adele.,<unk> <unk> <unk> <unk> <unk> <unk>,उसका नाम एडेल है.
Do I have to?,<unk> <unk> <unk> <unk> ?,रहना पड़ेगा?
Why is that Alan?,<unk> <unk> <unk> है है ?,ऐसा क्यों?
